uid0	D	w
uid1	A	w
uid2	D	m
uid3	A	w
uid4	D	w
uid5	A	w
uid6	CH	w
uid7	A	m
uid8	A	w
uid9	D	m
uid10	A	w
uid11	D	w
uid12	CH	w
uid13	A	w
uid14	D	w
uid15	D	w
uid16	A	w
uid17	CH	m
uid18	A	w
uid19	A	m
uid20	A	m
uid21	D	w
uid22	CH	w
uid23	D	w
uid24	D	m
uid25	A	w
uid26	D	w
uid27	D	m
uid28	A	m
uid29	A	w
uid30	D	w
uid31	D	m
uid32	A	w
uid33	A	w
uid34	A	m
uid35	A	w
uid36	A	w
uid37	D	m
uid38	A	m
uid39	A	m
uid40	D	m
uid41	A	w
uid42	A	m
uid43	A	w
uid44	D	m
uid45	D	m
uid46	CH	w
uid47	A	w
uid48	CH	m
uid49	A	m
uid50	D	m
uid51	D	m
uid52	A	w
uid53	A	m
uid54	A	w
uid55	A	w
uid56	CH	w
uid57	A	m
uid58	A	w
uid59	D	w
uid60	D	w
uid61	D	w
uid62	D	w
uid63	D	w
uid64	D	w
uid65	A	w
uid66	CH	m
uid67	D	m
uid68	CH	m
uid69	A	w
uid70	D	w
uid71	CH	w
uid72	CH	w
uid73	A	w
uid74	D	w
uid75	D	w
uid76	D	m
uid77	D	m
uid78	D	w
uid79	D	w
uid80	CH	w
uid81	D	w
uid82	D	m
uid83	A	w
uid84	CH	m
uid85	CH	w
uid86	D	m
uid87	CH	w
uid88	A	m
uid89	CH	m
uid90	D	w
uid91	A	w
uid92	A	m
uid93	D	m
uid94	D	w
uid95	D	w
uid96	A	w
uid97	D	w
uid98	D	w
uid99	D	m
uid100	D	m
uid101	D	w
uid102	A	w
uid103	D	w
uid104	D	w
uid105	A	m
uid106	A	m
uid107	A	w
uid108	D	w
uid109	A	w
uid110	D	m
uid111	CH	m
uid112	D	m
uid113	A	m
uid114	A	w
uid115	D	w
uid116	CH	m
uid117	A	w
uid118	CH	w
uid119	D	w
uid120	D	m
uid121	A	m
uid122	D	w
uid123	A	m
uid124	D	m
uid125	D	w
uid126	D	w
uid127	CH	m
uid128	D	m
uid129	CH	m
uid130	D	m
uid131	A	w
uid132	D	w
uid133	CH	w
uid134	D	m
uid135	D	w
uid136	CH	w
uid137	D	w
uid138	CH	w
uid139	D	w
uid140	D	w
uid141	D	m
uid142	A	m
uid143	CH	w
uid144	D	w
uid145	CH	m
uid146	A	w
uid147	A	m
uid148	A	w
uid149	D	m
uid150	D	w
uid151	D	m
uid152	D	m
uid153	D	m
uid154	D	w
uid155	D	m
uid156	D	w
uid157	CH	m
uid158	D	w
uid159	D	m
uid160	D	m
uid161	A	w
uid162	D	w
uid163	CH	w
uid164	D	m
uid165	D	w
uid166	CH	w
uid167	A	w
uid168	D	w
uid169	CH	m
uid170	D	w
uid171	D	w
uid172	D	w
uid173	CH	w
uid174	D	w
uid175	D	m
uid176	D	w
uid177	CH	m
uid178	D	m
uid179	A	m
uid180	D	m
uid181	A	w
uid182	D	w
uid183	D	w
uid184	A	w
uid185	D	w
uid186	A	w
uid187	CH	w
uid188	A	w
uid189	CH	w
uid190	A	m
uid191	D	m
uid192	D	w
uid193	D	w
uid194	A	w
uid195	D	w
uid196	D	m
uid197	CH	w
uid198	D	w
uid199	D	w
uid200	CH	m
uid201	D	w
uid202	CH	w
uid203	D	w
uid204	D	w
uid205	A	m
uid206	A	w
uid207	D	w
uid208	A	m
uid209	D	w
uid210	D	m
uid211	D	m
uid212	CH	w
uid213	D	m
uid214	A	w
uid215	A	m
uid216	D	w
uid217	A	m
uid218	D	w
uid219	D	w
uid220	D	w
uid221	D	w
uid222	D	w
uid223	A	w
uid224	D	m
uid225	D	m
uid226	A	m
uid227	A	w
uid228	A	m
uid229	CH	m
uid230	CH	w
uid231	A	w
uid232	A	w
uid233	D	w
uid234	D	m
uid235	A	w
uid236	D	m
uid237	D	m
uid238	D	w
uid239	A	w
uid240	D	m
uid241	CH	w
uid242	A	w
uid243	D	m
uid244	A	m
uid245	A	m
uid246	A	m
uid247	D	m
uid248	D	m
uid249	D	m
uid250	CH	w
uid251	D	m
uid252	D	w
uid253	A	m
uid254	D	m
uid255	A	m
uid256	A	m
uid257	A	w
uid258	D	m
uid259	D	m
uid260	D	m
uid261	CH	m
uid262	D	m
uid263	A	m
uid264	D	w
uid265	D	w
uid266	D	w
uid267	D	m
uid268	D	m
uid269	CH	w
uid270	A	m
uid271	A	w
uid272	CH	w
uid273	D	w
uid274	D	w
uid275	CH	w
uid276	D	w
uid277	CH	m
uid278	D	w
uid279	CH	m
uid280	A	w
uid281	D	w
uid282	D	w
uid283	D	w
uid284	D	w
uid285	A	w
uid286	A	m
uid287	A	m
uid288	D	m
uid289	D	w
uid290	D	m
uid291	A	w
uid292	D	m
uid293	D	w
uid294	D	m
uid295	CH	w
uid296	D	w
uid297	A	w
uid298	D	w
uid299	A	m
uid300	CH	w
uid301	CH	w
